ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
1ec9b860f3af94713eaf6d466e3c4f50,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,175541,,,
2f25ff36be746d1ca30fdda782ca2214,image.jpg,,image/jpeg,media/image.jpg,,,69526,,,
793d3ee84644e2733516674a0abfe276,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,246208,,,
hml_mp3,mc_mandarin_hml.mp3,,audio/mpeg,media/mc_mandarin_hml.mp3,,,10008449,625.502041,hml,
hml_wav,mc_mandarin_hml.wav,,audio/x-wav,media/mc_mandarin_hml.wav,,,110333996,625.4759183673469,hml,
hml_eaf,mc_mandarin_hml.eaf,,application/eaf+xml,media/mc_mandarin_hml.eaf,,,1849626,,hml,
hml_xml,mc_mandarin_hml.xml,,application/xml,media/mc_mandarin_hml.xml,,,625283,,hml,
hml_tsv,mc_mandarin_hml.tsv,,text/tab-separated-values,media/mc_mandarin_hml.tsv,,,105289,,hml,
jgz_mp3,mc_mandarin_jgz.mp3,,audio/mpeg,media/mc_mandarin_jgz.mp3,,,20393899,1274.592653,jgz,
jgz_wav,mc_mandarin_jgz.wav,,audio/x-wav,media/mc_mandarin_jgz.wav,,,224834560,1274.5665306122448,jgz,
jgz_eaf,mc_mandarin_jgz.eaf,,application/eaf+xml,media/mc_mandarin_jgz.eaf,,,4011731,,jgz,
jgz_xml,mc_mandarin_jgz.xml,,application/xml,media/mc_mandarin_jgz.xml,,,1360554,,jgz,
jgz_tsv,mc_mandarin_jgz.tsv,,text/tab-separated-values,media/mc_mandarin_jgz.tsv,,,220813,,jgz,
lzh_mp3,mc_mandarin_lzh.mp3,,audio/mpeg,media/mc_mandarin_lzh.mp3,,,7891904,493.217959,lzh,
lzh_wav,mc_mandarin_lzh.wav,,audio/x-wav,media/mc_mandarin_lzh.wav,,,87000064,493.1918367346939,lzh,
lzh_eaf,mc_mandarin_lzh.eaf,,application/eaf+xml,media/mc_mandarin_lzh.eaf,,,1325290,,lzh,
lzh_xml,mc_mandarin_lzh.xml,,application/xml,media/mc_mandarin_lzh.xml,,,456741,,lzh,
lzh_tsv,mc_mandarin_lzh.tsv,,text/tab-separated-values,media/mc_mandarin_lzh.tsv,,,78652,,lzh,
